id,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_cd
8990116,Brooklyn,40.70727,-73.95455,Entire home/apt,150,30,19,0.21,1,0,98.0
8741124,Brooklyn,40.61333,-73.96804,Private room,70,30,35,0.39,1,364,75.0
8861269,Manhattan,40.80564,-73.94864,Entire home/apt,170,30,37,0.47,2,363,151.0
8863005,Manhattan,40.75681,-73.96747,Entire home/apt,150,30,3,0.03,1,0,139.0
8864404,Manhattan,40.7929,-73.94108,Private room,83,30,0,0.0,1,0,146.0
8741489,Manhattan,40.81898,-73.94304,Entire home/apt,95,30,25,0.28,3,83,154.0
8990988,Brooklyn,40.69502,-73.92951,Entire home/apt,75,30,6,0.07,1,0,81.0
8741676,Manhattan,40.77897,-73.98217,Entire home/apt,280,30,1,0.01,1,0,124.0
8992666,Manhattan,40.80307,-73.946,Entire home/apt,169,30,0,0.0,1,0,151.0
8742567,Manhattan,40.74043,-73.99913,Entire home/apt,100,30,0,0.0,1,0,158.0
8743269,Manhattan,40.81078,-73.94555,Entire home/apt,95,30,1,0.01,1,0,154.0
8992714,Brooklyn,40.68494,-73.92691,Private room,51,30,2,0.02,1,0,108.0
8866669,Brooklyn,40.73054,-73.95629,Entire home/apt,220,5,16,0.27,1,10,62.0
8757726,Brooklyn,40.67743,-73.9203,Entire home/apt,110,3,139,1.56,1,2,108.0
8869029,Manhattan,40.72861,-73.98842,Private room,125,30,2,0.02,1,0,156.0
8992894,Manhattan,40.8023,-73.95562,Entire home/apt,424,30,58,0.65,1,248,150.0
8993461,Manhattan,40.72469,-73.98796,Private room,90,30,0,0.0,2,0,156.0
8869857,Queens,40.74427,-73.83192,Private room,58,1,145,1.61,5,88,232.0
8760212,Brooklyn,40.70473,-73.93825,Private room,206,4,2,0.33,1,0,98.0
8873479,Manhattan,40.73558,-73.98181,Private room,132,1,209,2.37,1,92,159.0
8993871,Queens,40.74084,-73.88995,Private room,75,1,246,2.76,2,343,195.0
8760442,Queens,40.75166,-73.89305,Entire home/apt,95,3,155,1.77,3,63,164.0
8760775,Manhattan,40.74842,-73.97639,Private room,111,30,4,0.04,1,0,138.0
8994197,Manhattan,40.72708,-74.00012,Entire home/apt,115,30,2,0.03,1,0,157.0
8994423,Manhattan,40.71483,-73.98244,Entire home/apt,170,30,1,0.01,1,0,136.0
8995042,Brooklyn,40.68982,-73.9265,Private room,50,3,59,0.66,2,122,108.0
8880524,Brooklyn,40.65821,-73.95839,Private room,63,30,12,0.13,1,0,57.0
8762641,Manhattan,40.78502,-73.97911,Entire home/apt,132,30,0,0.0,1,0,124.0
8881765,Brooklyn,40.66839,-73.98138,Entire home/apt,350,4,18,0.2,1,0,82.0
8881955,Brooklyn,40.66979,-73.95563,Private room,60,30,1,0.01,1,0,83.0
9002096,Brooklyn,40.67823,-73.96225,Private room,45,30,3,0.03,1,0,107.0
8762969,Manhattan,40.71319,-73.99265,Private room,100,30,1,0.01,1,0,136.0
8763502,Brooklyn,40.70812,-73.94382,Entire home/apt,144,5,280,3.15,1,53,98.0
9004969,Manhattan,40.79322,-73.93538,Entire home/apt,170,4,92,1.03,5,365,146.0
9005771,Manhattan,40.81999,-73.93933,Private room,45,30,1,0.01,1,0,154.0
8883074,Brooklyn,40.70482,-73.91927,Private room,41,30,0,0.0,1,0,104.0
8770660,Manhattan,40.84632,-73.94075,Entire home/apt,175,30,1,0.01,1,0,129.0
8884004,Brooklyn,40.68308,-73.93906,Private room,60,30,3,0.07,2,0,108.0
8887748,Brooklyn,40.67618,-73.9824,Private room,30,30,3,0.03,1,0,109.0
8888689,Manhattan,40.80685,-73.96571,Entire home/apt,170,30,7,0.08,1,0,126.0
8889423,Manhattan,40.78727,-73.97869,Entire home/apt,150,30,11,0.12,1,0,124.0
8897305,Manhattan,40.77781,-73.9477,Entire home/apt,120,30,2,0.02,1,0,144.0
8901538,Bronx,40.82247,-73.8876,Private room,70,30,8,0.09,1,363,40.0
8901901,Manhattan,40.80524,-73.95049,Entire home/apt,95,30,5,0.06,1,0,151.0
8904076,Queens,40.71372,-73.83693,Entire home/apt,125,30,2,0.02,1,0,176.0
9007591,Brooklyn,40.67016,-73.97691,Private room,160,30,44,0.49,2,203,82.0
8775344,Brooklyn,40.67869,-73.95498,Private room,75,30,1,0.01,1,0,107.0
8776208,Brooklyn,40.699,-73.9118,Private room,60,30,1,0.01,1,0,81.0
9007767,Manhattan,40.76021,-73.96595,Entire home/apt,154,30,15,0.17,4,234,142.0
8776479,Brooklyn,40.70492,-73.93637,Entire home/apt,140,10,20,0.26,1,0,98.0
8904662,Manhattan,40.79212,-73.95032,Private room,125,30,1,0.01,1,0,148.0
8777890,Brooklyn,40.68727,-73.92227,Private room,80,30,0,0.0,1,0,108.0
8907812,Manhattan,40.78804,-73.96915,Entire home/apt,364,30,0,0.0,1,362,124.0
8914109,Manhattan,40.81361,-73.94571,Private room,60,30,22,0.25,1,0,154.0
9011614,Brooklyn,40.68425,-73.92362,Entire home/apt,150,30,1,0.01,1,0,108.0
8781396,Brooklyn,40.69546,-73.95457,Private room,45,30,0,0.0,1,0,98.0
